{'proportion_of_honest': 0.5346534653465349, 'rounds': 0, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5544554455445547, 'rounds': 1, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.43564356435643586, 'rounds': 2, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4653465346534656, 'rounds': 3, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.3762376237623764, 'rounds': 4, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5148514851485151, 'rounds': 5, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4455445544554458, 'rounds': 6, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4950495049504953, 'rounds': 7, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4752475247524755, 'rounds': 8, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4653465346534656, 'rounds': 9, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4554455445544557, 'rounds': 10, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5445544554455448, 'rounds': 11, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5445544554455448, 'rounds': 12, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4851485148514854, 'rounds': 13, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5148514851485151, 'rounds': 14, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4851485148514854, 'rounds': 15, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.3960396039603962, 'rounds': 16, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5643564356435646, 'rounds': 17, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4455445544554458, 'rounds': 18, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5049504950495052, 'rounds': 19, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5940594059405944, 'rounds': 20, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4851485148514854, 'rounds': 21, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4950495049504953, 'rounds': 22, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4950495049504953, 'rounds': 23, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.4851485148514854, 'rounds': 24, 'initial_honest_proportion': 0.5148514851485151}
{'proportion_of_honest': 0.5841584158415845, 'rounds': 25, 'initial_honest_proportion': 0.5148514851485151}
